공통표준용어명,공통표준용어설명,공통표준용어영문약어명,공통표준도메인명,허용값,저장 형식,표현 형식,행정표준코드명,소관기관명,용어 이음동의어 목록,제정차수,개정구분명(폐기 또는 변경),개정항목,개정사유
총소요시간,필요로 하거나 요구되는 바를 수행하는 것에 걸리는 전체 시간,TREQ_HR,시분초C6,"HH : 00~23,  MI : 00~59,  SS : 00~59",HH24MISS,HH:MI:SS,,,,7차(2024-11),,,
총수납건수,돈이나 물품 따위를 받아 거두어들인 전체 건수,TPYRC_NOCS,수N14,,99999999999999,"99,999,999,999,999",,,,7차(2024-11),변경,공통표준용어설명,유관 용어와의 통일성 및 적합성을 고려하여 설명 수정
총수납금액,돈이나 물품 따위를 받아 거두어들인 것의 전체 돈의 액수,TPYRC_AMT,금액N15,,999999999999999,"999,999,999,999,999",,,,6차(2023-11),,,
총수익,일정한 일을 하여 얻은 이익을 모두 합하여 계산한 돈의 액수,TRVN,금액N15,,999999999999999,"999,999,999,999,999",,,,8차(2025-11),,,
총수입금액,돈이나 물품 따위를 거두어들이거나 그 돈이나 물품의 전체 돈의 액수,TICM_AMT,금액N15,,999999999999999,"999,999,999,999,999",,,,6차(2023-11),,,
총승인금액,어떤 행위를 하도록 승낙하거나 동의한 것에 드는 전체 돈의 액수,TAPRV_AMT,금액N15,,999999999999999,"999,999,999,999,999",,,,7차(2024-11),,,
총신청건수,단체나 기관에 어떠한 일이나 물건을 알려 청구한 전체 건수,TRQST_NOCS,수N14,,99999999999999,"99,999,999,999,999",,,,7차(2024-11),변경,공통표준용어설명,유관 용어와의 통일성 및 적합성을 고려하여 설명 수정
총신청금액,단체나 기관에 어떠한 일이나 물건을 알려 청구하는 것의 전체 돈의 액수,TRQST_AMT,금액N15,,999999999999999,"999,999,999,999,999",,,,6차(2023-11),,,
총여신금액,금융 기관에서 고객에게 돈을 빌려주는 일의 전체 돈의 액수,TCRDT_AMT,금액N15,,999999999999999,"999,999,999,999,999",,,,6차(2023-11),,,
총연구비,어떤 사물을 연구하는 데 드는 전체 비용,TRSCO,비용N15,,999999999999999,"999,999,999,999,999",,,,7차(2024-11),,,
총예산금액,필요한 비용을 미리 헤아려 계산한 전체 돈의 액수,TBGT_AMT,금액N15,,999999999999999,"999,999,999,999,999",,,,6차(2023-11),,,
총원가,물건을 만들거나 사들이는 데 든 값을 모두 합하여 계산한 돈의 액수,TPRMCO,가격N15,,999999999999999,"999,999,999,999,999",,,,8차(2025-11),,,
총이자,남의 돈이나 물건을 빌려 쓴 대가로 지급하는 이자를 모두 합한 돈의 액수,TINT,금액N15,,999999999999999,"999,999,999,999,999",,,,8차(2025-11),,,
총인구수,일정 지역 안에 사는 사람의 전체 수,TPPL,수N10,,9999999999,"9,999,999,999",,,,6차(2023-11),,,
총인원수,전체 사람의 수,TNOPE,수N10,,9999999999,"9,999,999,999",,,총명수,5차(2022-07),,,
총입금금액,금융 기관 등에 넣은 돈를 모두 합하여 계산한 돈의 액수,TDPST_AMT,금액N15,,999999999999999,"999,999,999,999,999",,,,8차(2025-11),,,
총자본금,영리를 목적으로 사업에 투자한 전체 금액,TEQCP,금액N15,,999999999999999,"999,999,999,999,999",,,,6차(2023-11),,,
총자산금액,개인이나 법인이 소유하고 있는 경제적 가치의 전체 돈의 액수,TAST_AMT,금액N15,,999999999999999,"999,999,999,999,999",,,,6차(2023-11),,,
총자산증가율,일정 기간 보유한 총자산이 늘어난 정도를 백분율로 산정한 것,TAST_GRWRT,"율N5,2",,999.99,999.99,,,,8차(2025-11),,,
총자산회전율,보유한 총자산을 활용하여 매출을 창출한 정도를 나타내는 비율,TAST_RTTRT,"율N5,2",,999.99,999.99,,,,8차(2025-11),,,
총저장용량,"물건이나 재화 따위를 모아서 간수하거나, 주어진 기억 장치에 한 번에 저장할 수 있는 것의 전체를 합하여 계산한 분량",TSTRG_CPCT,"수N10,3",,9999999.999,9999999.999,,,,8차(2025-11),,,
총정원수,일정한 규정에 의하여 정한 인원의 전체 수,TCPC_CNT,수N10,,9999999999,"9,999,999,999",,,,7차(2024-11),,,
총조회수,인터넷 따위에 올려진 게시물을 확인한 전체 횟수,TINQ_CNT,수N14,,99999999999999,"99,999,999,999,999",,,,7차(2024-11),,,
총주차수,일정한 곳에 세우는 전체 자동차의 수,TPKCT_CNT,수N7,,9999999,9999999,,,,5차(2022-07),,,
총주행거리,자동차 따위의 교통수단이 움직여 간 것의 전체 거리,TDRVG_DSTNC,"수N10,3",,9999999.999,9999999.999,,,,7차(2024-11),,,
총지급건수,돈이나 물품 따위를 정하여진 몫만큼 내준 전체 건수,TPMT_NOCS,수N14,,99999999999999,"99,999,999,999,999",,,,7차(2024-11),변경,공통표준용어설명,유관 용어와의 통일성 및 적합성을 고려하여 설명 수정
총지급금액,정하여진 몫만큼 내준 전체 돈의 액수,TPMT_AMT,금액N15,,999999999999999,"999,999,999,999,999",,,,5차(2022-07),,,
