공통표준용어명,공통표준용어설명,공통표준용어영문약어명,공통표준도메인명,허용값,저장 형식,표현 형식,행정표준코드명,소관기관명,용어 이음동의어 목록,제정차수,개정구분명(폐기 또는 변경),개정항목,개정사유
입양여부,양자로 들어가거나 들였는지 여부,ADP_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,7차(2024-11),,,
입양일자,양자로 들어가거나 들인 날짜,ADP_YMD,연월일C8,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",YYYYMMDD,YYYY-MM-DD,,,,7차(2024-11),,,
입원여부,환자가 병을 고치기 위하여 일정한 기간 동안 병원에 들어가 머물렀는지 여부,HSPTLZ_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,7차(2024-11),,,
입원일수,환자가 병을 고치기 위하여 일정한 기간 동안 병원에 들어가 머문 날의 수,HSPTLZ_DAY_CNT,수N7,,9999999,9999999,,,,7차(2024-11),,,
입원일시,환자가 병을 고치기 위하여 병원에 머물기 위해 들어가는 날짜와 시각,HSPTLZ_DT,연월일시분초D,"YYYY : 0001~9999, MM : 01~12, DD : 01~31, HH : 00~23,  MI : 00~59, SS : 00~59",YYYYMMDDHH24MISS,YYYY-MM-DD HH:MI:SS,,,,8차(2025-11),,,
입원일자,환자가 병을 고치기 위하여 병원에 머물기 위해 들어가는 날짜,HSPTLZ_YMD,연월일C8,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",YYYYMMDD,YYYY-MM-DD,,,,6차(2023-11),,,
입장료,장내로 들어가기 위하여 내는 요금,ADFE,요금N15,,999999999999999,"999,999,999,999,999",,,,8차(2025-11),,,
입장시각,장내에 들어가는 어느 한 시점,ADMS_TM,시분초C6,"HH : 00~23,  MI : 00~59,  SS : 00~59",HH24MISS,HH:MI:SS,,,,7차(2024-11),,,
입장시간,장내에 들어가는 데에 걸리는 일정한 시간,ADMS_HR,시분초C6,"HH : 00~23,  MI : 00~59,  SS : 00~59",HH24MISS,HH:MI:SS,,,,8차(2025-11),,,
입장일시,장내에 들어간 날짜와 시각,ADMS_DT,연월일시분초D,"YYYY : 0001~9999, MM : 01~12, DD : 01~31, HH : 00~23,  MI : 00~59, SS : 00~59",YYYYMMDDHH24MISS,YYYY-MM-DD HH:MI:SS,,,,7차(2024-11),,,
입장일자,장내에 들어간 날짜,ADMS_YMD,연월일C8,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",YYYYMMDD,YYYY-MM-DD,,,,8차(2025-11),,,
입주시작일자,새집에 들어가기 시작하는 날짜,MVN_BGNG_YMD,연월일C8,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",YYYYMMDD,YYYY-MM-DD,,,,6차(2023-11),,,
입주업체명,새집에 들어가서 영업이나 사업을 하는 업체의 이름,MVN_BZENTY_NM,명V100,,100자리 이내 문자,,,,,8차(2025-11),,,
입주여부,새집에 들어갔는지 여부,MVN_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,6차(2023-11),,,
입주연도,새집에 들어간 연도,MVN_YR,연도C4,YYYY : 0001~9999,YYYY,YYYY,,,,8차(2025-11),,,
입주예정일자,새집에 들어가는 것을 미리 정한 날짜,MVN_PRNMNT_YMD,연월일C8,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",YYYYMMDD,YYYY-MM-DD,,,,7차(2024-11),,,
입주일자,새집에 들어가는 날짜,MVN_YMD,연월일C8,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",YYYYMMDD,YYYY-MM-DD,,,,6차(2023-11),,,
입주자모집공고일자,"새로 지은 집 따위에 거주할 사람을 뽑기 위하여 일반 대중에게 광고, 게시, 또는 다른 공개적 방법으로 널리 알린 날짜",OCPNT_RCRT_PBANC_YMD,연월일C8,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",YYYYMMDD,YYYY-MM-DD,,,,7차(2024-11),,,
입주종료일자,새집에 들어가는 것을 끝마치는 날짜,MVN_END_YMD,연월일C8,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",YYYYMMDD,YYYY-MM-DD,,,,6차(2023-11),,,
입주희망일자,새집에 들어가기를 원하는 날짜,MVN_HOPE_YMD,연월일C8,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",YYYYMMDD,YYYY-MM-DD,,,,7차(2024-11),,,
입찰가격,상품의 매매나 도급 계약의 체결을 희망하는 사람들이 각자의 낙찰 희망 가격을 서면으로 제출하는 가격,BID_PRC,가격N15,,999999999999999,"999,999,999,999,999",,,,7차(2024-11),,,
입찰공고명,상품의 매매나 도급 계약의 체결을 희망하는 개인이나 사업자 등에게 알리는 공고의 이름,BID_PBANC_NM,명V200,,200자리 이내 문자,,,,,7차(2024-11),,,
입찰공고번호,상품의 매매나 도급 계약을 체결할 때 여러 희망자들에게 각자의 낙찰 희망 가격을 서면으로 제출하게 공고한 내용에 부여하는 식별 번호,BID_PBANC_NO,번호V20,,20자리 이내 문자,,,,,5차(2022-07),,,
입찰공고일시,상품의 매매나 도급 계약의 체결을 희망하는 개인이나 사업자 등에게 각자의 낙찰 희망 가격을 서면으로 제출하는 일을 널리 알리는 날짜와 시각,BID_PBANC_DT,연월일시분초D,"YYYY : 0001~9999, MM : 01~12, DD : 01~31, HH : 00~23,  MI : 00~59, SS : 00~59",YYYYMMDDHH24MISS,YYYY-MM-DD HH:MI:SS,,,,7차(2024-11),,,
입찰공고일자,상품의 매매나 도급 계약을 체결할 때 여러 희망자에게 각자의 낙찰 희망 가격을 서면으로 제출하는 일을 널리 알리는 날짜,BID_PBANC_YMD,연월일C8,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",YYYYMMDD,YYYY-MM-DD,,,,6차(2023-11),,,
입찰공고차수,상품의 매매나 도급 계약의 체결을 희망하는 개인이나 사업자 등에게 각자의 낙찰 희망 가격을 서면으로 제출하는 일을 널리 알리는 것의 주기나 경과의 시기를 나타낸 수,BID_PBANC_CYCL,수N7,,9999999,9999999,,,,7차(2024-11),,,
입찰금액,상품의 매매나 도급 계약을 체결할 때 각각의 희망자가 낙찰 희망 가격을 서면으로 제출하는 돈의 액수,BID_AMT,금액N15,,999999999999999,"999,999,999,999,999",,,,6차(2023-11),,,
입찰내용,상품의 매매 계약이나 도급 계약을 할 때 여러 사람에게 각자 원하는 가격을 제출하는 서면의 내용,BID_CN,내용V4000,,4000자리 이내 문자,,,,,7차(2024-11),,,
입찰단가,상품의 매매나 도급 계약의 체결을 희망하는 사람들이 각자의 낙찰 희망 가격을 서면으로 제출할 때 한 단위의 가격,BID_UNTPRC,금액N15,,999999999999999,"999,999,999,999,999",,,,8차(2025-11),,,
입찰마감일시,상품의 매매나 도급 계약을 체결할 때 여러 희망자에게 각자의 낙찰 희망 가격을 서면으로 제출하게 하는 일을 끝마치는 날짜와 시각,BID_DDLN_DT,연월일시분초D,"YYYY : 0001~9999, MM : 01~12, DD : 01~31, HH : 00~23,  MI : 00~59, SS : 00~59",YYYYMMDDHH24MISS,YYYY-MM-DD HH:MI:SS,,,,7차(2024-11),,,
입찰마감일자,상품의 매매나 도급 계약을 체결할 때 여러 희망자에게 각자의 낙찰 희망 가격을 서면으로 제출하게 하는 일을 끝마치는 날짜,BID_DDLN_YMD,연월일C8,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",YYYYMMDD,YYYY-MM-DD,,,,8차(2025-11),,,
입찰방법내용,상품의 매매나 도급 계약을 체결할 때 여러 희망자들에게 각자의 낙찰 희망 가격을 서면으로 제출하는 수단이나 방식의 내용,BID_MTHD_CN,내용V4000,,4000자리 이내 문자,,,,,8차(2025-11),,,
입찰방식명,상품의 매매나 도급 계약을 체결할 때 여러 희망자들에게 각자의 낙찰 희망 가격을 서면으로 제출하는 일정한 방법이나 형식의 이름,BID_MTH_NM,명V200,,200자리 이내 문자,,,,,8차(2025-11),,,
입찰보증금액,상품의 매매나 도급 계약을 체결할 때 입찰에 참여하는 사람이 계약 이행을 담보하기 위해 미리 납부하는 돈의 액수,BID_GRNTE_AMT,금액N15,,999999999999999,"999,999,999,999,999",,,,8차(2025-11),,,
입찰수량,상품의 매매나 도급 계약을 체결할 때 입찰에 참여하는 사람이 제시한 수효와 분량,BID_QTY,"수N10,3",,9999999.999,9999999.999,,,,8차(2025-11),,,
입찰시작시분,상품의 매매나 도급 계약을 체결할 때 여러 희망자에게 각자의 낙찰 희망 가격을 서면으로 제출하게 하는 일을 시작한 시와 분,BID_BGNG_HM,시분C4,"HH : 00~23,  MI : 00~59",HH24MI,HH:MI,,,,8차(2025-11),,,
입찰시작일시,상품의 매매나 도급 계약을 체결할 때 여러 희망자에게 각자의 낙찰 희망 가격을 서면으로 제출하게 하는 일을 시작하는 날짜와 시각,BID_BGNG_DT,연월일시분초D,"YYYY : 0001~9999, MM : 01~12, DD : 01~31, HH : 00~23,  MI : 00~59, SS : 00~59",YYYYMMDDHH24MISS,YYYY-MM-DD HH:MI:SS,,,,7차(2024-11),,,
입찰시작일자,상품의 매매나 도급 계약을 체결할 때 여러 희망자에게 각자의 낙찰 희망 가격을 서면으로 제출하게 하는 일을 시작하는 날짜,BID_BGNG_YMD,연월일C8,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",YYYYMMDD,YYYY-MM-DD,,,,6차(2023-11),,,
입찰여부,상품의 매매 계약이나 도급 계약을 할 때 여러 사람에게 각자 원하는 가격을 서면으로 제출했는지 여부,BID_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,7차(2024-11),,,
입찰일시,상품의 매매 계약이나 도급 계약을 할 때 여러 사람에게 각자 원하는 가격을 서면으로 제출하게 하는 날짜와 시각,BID_DT,연월일시분초D,"YYYY : 0001~9999, MM : 01~12, DD : 01~31, HH : 00~23,  MI : 00~59, SS : 00~59",YYYYMMDDHH24MISS,YYYY-MM-DD HH:MI:SS,,,,7차(2024-11),,,
입찰일자,상품의 매매 계약이나 도급 계약을 할 때 여러 사람에게 각자 원하는 가격을 서면으로 제출하게 한 날짜,BID_YMD,연월일C8,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",YYYYMMDD,YYYY-MM-DD,,,,3차(2021-10),,,
입찰자명,상품의 매매나 공사의 도급 계약 따위에서 상품을 사거나 계약을 체결하려고 입찰을 신청한 사람의 이름,BDR_NM,명V100,,100자리 이내 문자,,,,,8차(2025-11),,,
입찰장소명,상품의 매매나 도급 계약을 체결할 때 여러 희망자들에게 각자의 낙찰 희망 가격을 서면으로 제출하게 하는 일이 일어나는 곳의 이름,BID_PLC_NM,명V100,,100자리 이내 문자,,,,,7차(2024-11),,,
입찰종료시분,상품의 매매나 도급 계약을 체결할 때 여러 희망자에게 각자의 낙찰 희망 가격을 서면으로 제출하게 하는 일을 끝마친 시와 분,BID_END_HM,시분C4,"HH : 00~23,  MI : 00~59",HH24MI,HH:MI,,,,8차(2025-11),,,
입찰종료일시,상품의 매매나 도급 계약을 체결할 때 여러 희망자에게 각자의 낙찰 희망 가격을 서면으로 제출하게 하는 일을 끝마친 날짜와 시각,BID_END_DT,연월일시분초D,"YYYY : 0001~9999, MM : 01~12, DD : 01~31, HH : 00~23,  MI : 00~59, SS : 00~59",YYYYMMDDHH24MISS,YYYY-MM-DD HH:MI:SS,,,,8차(2025-11),,,
입찰종료일자,상품의 매매나 도급 계약을 체결할 때 여러 희망자에게 각자의 낙찰 희망 가격을 서면으로 제출하게 하는 일을 끝마치는 날짜,BID_END_YMD,연월일C8,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",YYYYMMDD,YYYY-MM-DD,,,,6차(2023-11),,,
입찰참가자격내용,상품의 매매나 도급 계약을 체결할 때 여러 사람이 각자의 낙찰 희망 가격을 서면으로 제출하여 참여하는 데 필요한 조건이나 능력의 내용,BID_PRTCP_QLFC_CN,내용V4000,,4000자리 이내 문자,,,,,8차(2025-11),,,
입출금계좌번호,금융 기관 등에서 예금의 입금과 출금을 관리하려고 설정한 계좌에 부여하는 식별 번호,DPWD_ACTNO,계좌번호V20,,20자리 이내 문자,,,,,8차(2025-11),,,
입학금,입학할 때에 학교에 내는 돈의 액수,ADMFE,금액N15,,999999999999999,"999,999,999,999,999",,,,7차(2024-11),,,
입학연도,공부하려고 학교 등에 들어가는 연도,MTCLTN_YR,연도C4,YYYY : 0001~9999,YYYY,YYYY,,,,6차(2023-11),,,
입학연월,공부하려고 학교 등에 들어가는 연도와 월,MTCLTN_YM,연월C6,"YYYY : 0001~9999, MM : 01~12",YYYYMM,YYYY-MM,,,,6차(2023-11),,,
입학예정일자,공부하려고 학교 등에 들어가는 시기를 미리 정해 놓은 날짜,MTCLTN_PRNMNT_YMD,연월일C8,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",YYYYMMDD,YYYY-MM-DD,,,,7차(2024-11),,,
입학일자,공부하려고 학교 등에 들어간 날짜,MTCLTN_YMD,연월일C8,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",YYYYMMDD,YYYY-MM-DD,,,,3차(2021-10),,,
입학정원수,공부하려고 학교 등에 들어갈 수 있도록 허용된 최대 인원 수,MTCLTN_PSCP_CNT,수N10,,9999999999,"9,999,999,999",,,,8차(2025-11),,,
입항연도,배가 항구에 들어오거나 들어간 연도,PTENT_YR,연도C4,YYYY : 0001~9999,YYYY,YYYY,,,,7차(2024-11),,,
입항예정일시,배가 항구에 들어오거나 들어가는 것을 미리 정하거나 생각한 날짜와 시각,PTENT_PRNMNT_DT,연월일시분초D,"YYYY : 0001~9999, MM : 01~12, DD : 01~31, HH : 00~23,  MI : 00~59, SS : 00~59",YYYYMMDDHH24MISS,YYYY-MM-DD HH:MI:SS,,,,8차(2025-11),,,
입항예정일자,배가 항구에 들어오거나 들어가는 것을 미리 정하거나 생각한 날짜,PTENT_PRNMNT_YMD,연월일C8,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",YYYYMMDD,YYYY-MM-DD,,,,7차(2024-11),,,
입항일시,배가 항구에 들어오거나 들어가는 날짜와 시각,PTENT_DT,연월일시분초D,"YYYY : 0001~9999, MM : 01~12, DD : 01~31, HH : 00~23,  MI : 00~59, SS : 00~59",YYYYMMDDHH24MISS,YYYY-MM-DD HH:MI:SS,,,,7차(2024-11),,,
입항일자,배가 항구에 들어오거나 들어가는 날짜,PTENT_YMD,연월일C8,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",YYYYMMDD,YYYY-MM-DD,,,,6차(2023-11),,,
입항지명,"배, 화물, 운송수단 등이 도착하여 들어오는 항구가 위치한 곳의 이름",POENT_NM,명V200,,200자리 이내 문자,,,,,8차(2025-11),,,
입항횟수,배가 항구에 들어오거나 들어간 횟수,PTENT_NMTM,수N10,,9999999999,"9,999,999,999",,,,8차(2025-11),,,
입회자명,어떠한 사실이 발생하거나 존재하는 현장에 함께 참석하여 지켜보는 사람의 이름,OBSRVR_NM,명V100,,100자리 이내 문자,,,,,7차(2024-11),,,
입회자전화번호,어떠한 사실이 발생하거나 존재하는 현장에 함께 참석하여 지켜보는 사람의 전화번호,OBSRVR_TELNO,전화번호V11,,11자리 이내 문자,(9)99-(9)999-9999 or 999-(9)999-9999 or 9999-9999 or 999-(9)999-9999,,,,8차(2025-11),,,
자격구분명,일정한 기준에 따라 전체를 몇 개로 갈라 나눈 것의 이름,QLFC_SE_NM,명V100,,100자리 이내 문자,,,,,8차(2025-11),,,
자격등급명,일정한 신분이나 지위를 가지거나 일정한 일을 하는 데 필요한 조건이나 능력의 높고 낮음 따위의 차이를 여러 층으로 구분한 단계의 이름,QLFC_GRD_NM,명V200,,200자리 이내 문자,,,,,7차(2024-11),,,
자격면허내용,일정한 자격을 인정하여 주는 것과 특정한 일을 할 수 있는 공식적인 자격을 행정 기관이 허가한 증서의 내용,QLFC_LCNS_CN,내용V4000,,4000자리 이내 문자,,,,,8차(2025-11),,,
자격면허명,일정한 자격을 인정하여 주는 것과 특정한 일을 할 수 있는 공식적인 자격을 행정 기관이 허가한 증서의 이름,QLFC_LCNS_NM,명V100,,100자리 이내 문자,,,,,7차(2024-11),변경,공통표준용어설명,유관 용어와의 통일성 및 적합성을 고려하여 설명 수정
자격면허번호,일정한 자격을 인정하여 주는 것과 특정한 일을 할 수 있는 공식적인 자격을 행정 기관이 허가한 것에 부여하는 식별 번호,QLFC_LCNS_NO,번호V50,,50자리 이내 문자,,,,,7차(2024-11),,,
자격명,일정한 신분이나 지위를 가지거나 일정한 일을 하는 데 필요한 조건이나 능력의 이름,QLFC_NM,명V100,,100자리 이내 문자,,,,"자격이름, 자격명칭",5차(2022-07),,,
자격사항,일정한 신분이나 지위를 가지거나 일정한 일을 하는 데 필요한 조건이나 능력의 항목이나 내용,QLFC_MTTR,내용V4000,,4000자리 이내 문자,,,,,7차(2024-11),,,
자격상실일시,일정한 신분이나 지위를 가지거나 일정한 일을 하는 데 필요한 조건이나 능력을 잃게 되는 날짜와 시각,QLFC_LOSE_DT,연월일시분초D,"YYYY : 0001~9999, MM : 01~12, DD : 01~31, HH : 00~23,  MI : 00~59, SS : 00~59",YYYYMMDDHH24MISS,YYYY-MM-DD HH:MI:SS,,,,7차(2024-11),,,
자격상실일자,일정한 신분이나 지위를 가지거나 일정한 일을 하는 데 필요한 조건이나 능력을 잃게 되는 날짜,QLFC_LOSE_YMD,연월일C8,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",YYYYMMDD,YYYY-MM-DD,,,,6차(2023-11),,,
자격시작일자,일정한 신분이나 지위를 가지거나 일정한 일을 하는 데 필요한 조건이나 능력의 효력이 시작한 날짜,QLFC_BGNG_YMD,연월일C8,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",YYYYMMDD,YYYY-MM-DD,,,,6차(2023-11),변경,공통표준용어설명,유관 용어와의 통일성 및 적합성을 고려하여 설명 수정
자격여부,일정한 신분이나 지위를 가지거나 일정한 일을 하는 데 필요한 조건이나 능력이 되는지 여부,QLFC_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,6차(2023-11),,,
자격요건내용,"법 규정에 따른 허가, 승인, 등록 따위를 위하여 요구되는 인적 또는 물리적 필요조건의 내용",QLFC_RQMT_CN,내용V4000,,4000자리 이내 문자,,,,,7차(2024-11),,,
자격종료일자,일정한 신분이나 지위를 가지거나 일정한 일을 하는 데 필요한 조건이나 능력의 효력이 끝마치는 날짜,QLFC_END_YMD,연월일C8,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",YYYYMMDD,YYYY-MM-DD,,,,6차(2023-11),,,
자격증내용,일정한 자격을 인정하여 주는 증서의 내용,CRTFCT_CN,내용V4000,,4000자리 이내 문자,,,,,6차(2023-11),,,
자격증명,일정한 자격을 인정하여 주는 증서의 이름,CRTFCT_NM,명V100,,100자리 이내 문자,,,,"자격증이름, 자격증명칭",5차(2022-07),,,
자격증발급기관명,일정한 자격을 인정하여 주는 증서를 발행하여 주는 기구나 조직의 이름,CRTFCT_ISSU_INST_NM,명V200,,200자리 이내 문자,,,,,8차(2025-11),,,
자격증발급일자,일정한 자격을 인정하여 주는 증서를 발행한 날짜,CRTFCT_ISSU_YMD,연월일C8,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",YYYYMMDD,YYYY-MM-DD,,,,8차(2025-11),,,
자격증번호,일정한 자격을 인정하여 주는 증서에 부여하는 식별 번호,CRTFCT_NO,번호V20,,20자리 이내 문자,,,,,5차(2022-07),,,
자격증여부,일정한 자격을 인정하여 주는 증서인지 여부,CRTFCT_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,6차(2023-11),,,
자격증종류명,일정한 자격을 인정하여 주는 증서의 부문을 나눈 갈래의 이름,CRTFCT_KND_NM,명V200,,200자리 이내 문자,,,,,8차(2025-11),,,
자격증취득일자,일정한 자격을 인정하여 주는 증서를 획득하는 날짜,CRTFCT_ACQS_YMD,연월일C8,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",YYYYMMDD,YYYY-MM-DD,,,,6차(2023-11),,,
자격취득일자,일정한 신분이나 지위를 가지거나 일정한 일을 하는 데 필요한 조건이나 능력을 획득한 날짜,QLFC_ACQS_YMD,연월일C8,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",YYYYMMDD,YYYY-MM-DD,,,,1차(2020-08),,,
자금구분명,사업을 경영하는 데에 쓰는 돈을 일정한 기준에 따라 전체를 몇 개로 갈라 나눈 것의 이름,FNDS_SE_NM,명V100,,100자리 이내 문자,,,,,7차(2024-11),,,
자금배정금액,사업을 경영하는 데에 쓰는 돈의 몫을 나누어 정한 돈의 액수,FNDS_ALTMNT_AMT,금액N15,,999999999999999,"999,999,999,999,999",,,,8차(2025-11),,,
자금용도명,사업을 경영하는 데에 쓰는 돈이 쓰이는 형편의 이름,FNDS_USG_NM,명V100,,100자리 이내 문자,,,,,6차(2023-11),,,
자금이체계좌번호,계좌 따위에 들어 있는 돈을 다른 계좌 따위로 옮기는 상대편의 계좌에 부여하는 식별 번호,FNDTR_ACTNO,계좌번호V20,,20자리 이내 문자,,,,,6차(2023-11),,,
자금이체금액,사업을 경영하는 데 쓰는 돈을 은행 거래에서 계좌 이체 따위로 처리하는 돈의 액수,FNDTR_AMT,금액N15,,999999999999999,"999,999,999,999,999",,,,6차(2023-11),,,
자금이체여부,"고객과 은행 사이, 은행과 은행 사이에 이루이지는 자금의 이동인지 여부",FNDTR_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,7차(2024-11),,,
자금이체일자,사업을 경영하는 데에 쓰는 돈을 다른 계좌로 옮긴 날짜,FNDTR_YMD,연월일C8,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",YYYYMMDD,YYYY-MM-DD,,,,7차(2024-11),,,
자금항목명,사업을 경영하는 데에 쓰는 돈을 구성하고 있는 낱낱의 부분이나 갈래의 이름,FNDS_ARTCL_NM,명V100,,100자리 이내 문자,,,,,8차(2025-11),,,
자기부담금,본인이 어떠한 일에 책임을 지고 내야 하는 돈의 액수,OOPEXP,금액N15,,999999999999999,"999,999,999,999,999",,,,8차(2025-11),,,
자기소개내용,"처음 만난 사람에게 자기의 이름, 경력, 직업 따위를 말하여 알린 내용",SLFINT_CN,내용V4000,,4000자리 이내 문자,,,,,7차(2024-11),,,
자기앞수표금액,발행인이 자기를 지급인으로 하여 발행한 수표에 기재된 돈의 액수,CSCK_AMT,금액N15,,999999999999999,"999,999,999,999,999",,,,8차(2025-11),,,
자기자본금액,"기업의 소유자가 출자한 자본과 기업 내부에 축적된 적립금, 준비금 따위의 유보 자본을 합한 자본의 액수",EQCPTL_AMT,금액N15,,999999999999999,"999,999,999,999,999",,,,6차(2023-11),,,
자기자본비용,기업이 자기 자본을 조달하고 유지하기 위해 필요로 하는 최소한의 수익을 비용으로 나타낸 것,EQCPTL_CST,비용N15,,999999999999999,"999,999,999,999,999",,,,8차(2025-11),,,
자기자본비율,자기 자본을 총자산으로 나누어 백분율로 산정한 것,EQCPTL_RT,"율N6,2",,9999.99,9999.99,,금융위원회,,6차(2023-11),,,
자기자본순이익률,일정 기간의 순이익을 자기 자본으로 나누어 백분율로 산정한 것,EQCPTL_NPRT,"율N7,2",,99999.99,99999.99,,,,8차(2025-11),,,
자기자본회전율,일정 기간의 매출액을 자기 자본으로 나누어 산정한 비율,EQCPTL_RTTRT,"율N5,2",,999.99,999.99,,,,8차(2025-11),,,
자기평가점수,다른 사람과 비교하여 자신의 개성을 평가한 것을 성적으로 나타낸 점수,SLFEVL_SCR,"수N10,3",,9999999.999,9999999.999,,,,7차(2024-11),,,
자녀명,아들과 딸 등의 이름,CHLD_NM,명V100,,100자리 이내 문자,,,,,6차(2023-11),,,
자녀생년월일,아들과 딸이 태어난 해와 달과 날,CHLD_BRDT,연월일C8,"YYYY : 0001~9999, MM : 01~12, DD : 01~31",YYYYMMDD,YYYY-MM-DD,,,,7차(2024-11),변경,공통표준용어설명,유관 용어와의 통일성 및 적합성을 고려하여 설명 수정
자녀세액공제금액,공제 대상 자녀 수에 따라 산출세액에서 공제되는 돈의 액수,CHLD_TXAMT_DDC_AMT,금액N18,,999999999999999999,"999,999,999,999,999,999",,,,8차(2025-11),,,
자녀수,아들과 딸 등의 수효,CHLD_CNT,수N14,,99999999999999,"99,999,999,999,999",,,,6차(2023-11),,,
자녀양육공제금액,"자녀세액공제 대상 자녀 중에서 일정 연령 이하의 자녀를 실제로 양육하는 경우, 법으로 정한 금액을 산출세액에서 추가로 공제하는 돈의 액수",CHLD_BRUP_DDC_AMT,금액N15,,999999999999999,"999,999,999,999,999",,,,8차(2025-11),,,
자녀양육비,아들과 딸을 양육하는 데 드는 비용,CHLD_RREXP,비용N15,,999999999999999,"999,999,999,999,999",,,,8차(2025-11),,,
자녀양육여부,아들과 딸을 보살펴서 자라게 하는지 여부,CHLD_BRUP_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,7차(2024-11),,,
자녀양육인원수,아들과 딸을 보살펴서 자라게 하는 자녀의 수,CHLD_BRUP_NOPE,수N10,,9999999999,"9,999,999,999",,,,8차(2025-11),,,
자녀유무,아들과 딸의 유무,CHLD_EN,유무C1,"Y : 유(있음),  N : 무(없음)",1자리 문자,Y or N,,,,7차(2024-11),,,
자녀암호화주민등록번호,아들과 딸의 주민등록번호를 암호화한 값,CHLD_ENRRNO,암호화번호V256,,256자리 이내 문자,,,,,8차(2025-11),,,
자녀주민등록번호,아들과 딸의 주민등록번호,CHLD_RRNO,주민등록번호C13,,13자리 문자,999999-9999999,,,,7차(2024-11),,,
자동갱신여부,어떤 절차 없이 스스로 작동하여 이미 있던 것을 고쳐 새롭게 했는지 여부,AUTO_UPDT_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,8차(2025-11),,,
자동계산여부,어떤 절차 없이 스스로 작동하여 수를 헤아리는지 여부,AUTO_CAL_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,7차(2024-11),,,
자동등록여부,일정한 자격 조건을 갖추기 위하여 단체나 기관에 문서를 올리거나 법정(法定)의 공부(公簿)에 기재하는 일이 어떤 절차 없이 바로 진행되는지 여부,AUTO_REG_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,6차(2023-11),,,
자동로그인여부,어떤 절차 없이 로그인을 했는지 여부,AUTO_LGN_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,7차(2024-11),,,
자동발송여부,미리 정의된 수신자에게 특정한 메시지를 어떤 절차 없이 발송하는지 여부,AUTO_SNDNG_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,6차(2023-11),,,
자동생성여부,어떤 절차 없이 사물이 생겨나는지 여부,AUTO_CRT_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,6차(2023-11),,,
자동승인여부,어떤 절차 없이 어떤 특정한 행위에 대하여 행하는 승낙이나 동의가 어떤 절차없이 이뤄지는지 여부,AUTO_APRV_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,6차(2023-11),,,
자동실행여부,어떤 절차 없이 스스로 작동하여 특정한 행위를 실지로 행하였는지 여부,AUTO_EXCN_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,8차(2025-11),,,
자동심사여부,어떤 절차 없이 어떤 것에 대하여 자세하게 조사하여 등급이나 당락 따위를 결정했는지 여부,AUTO_SRNG_YN,여부C1,"Y : 여(예), N : 부(아니요)",1자리 문자,Y or N,,,,7차(2024-11),,,
